Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Dean Wade (26936785),Dean Wade,26936785,PF/C/F/UTIL,3000,CLE@MIA 03/10/2023 08:00PM ET,CLE,13.01
SF,Dylan Windler (26936789),Dylan Windler,26936789,SF/F/UTIL,3000,CLE@MIA 03/10/2023 08:00PM ET,CLE,0
SG/SF,Danny Green (26936792),Danny Green,26936792,SG/SF/F/G/UTIL,3000,CLE@MIA 03/10/2023 08:00PM ET,CLE,6.18
SF/PF,Cedi Osman (26936797),Cedi Osman,26936797,SF/PF/F/UTIL,3000,CLE@MIA 03/10/2023 08:00PM ET,CLE,15.33
SG,Sam Merrill (26936801),Sam Merrill,26936801,SG/G/UTIL,3000,CLE@MIA 03/10/2023 08:00PM ET,CLE,2
PF/C,Isaiah Mobley (26936804),Isaiah Mobley,26936804,PF/C/F/UTIL,3000,CLE@MIA 03/10/2023 08:00PM ET,CLE,3.16
PF/C,Mamadi Diakite (26936808),Mamadi Diakite,26936808,PF/C/F/UTIL,3000,CLE@MIA 03/10/2023 08:00PM ET,CLE,3.69
SG,Josh Minott (26936759),Josh Minott,26936759,SG/G/UTIL,3000,BKN@MIN 03/10/2023 08:00PM ET,MIN,7.25
SG/SF,Wendell Moore Jr. (26936762),Wendell Moore Jr.,26936762,SG/SF/F/G/UTIL,3000,BKN@MIN 03/10/2023 08:00PM ET,MIN,4.18
C,Nathan Knight (26936767),Nathan Knight,26936767,C/UTIL,3000,BKN@MIN 03/10/2023 08:00PM ET,MIN,7.03
SG/SF,Matt Ryan (26936769),Matt Ryan,26936769,SG/SF/F/G/UTIL,3000,BKN@MIN 03/10/2023 08:00PM ET,MIN,6.26
C,Luka Garza (26936774),Luka Garza,26936774,C/UTIL,3000,BKN@MIN 03/10/2023 08:00PM ET,MIN,11.07
PG/SG,Austin Rivers (26936776),Austin Rivers,26936776,PG/SG/G/UTIL,3000,BKN@MIN 03/10/2023 08:00PM ET,MIN,10.85
PG,Dru Smith (26936912),Dru Smith,26936912,PG/G/UTIL,3000,BKN@MIN 03/10/2023 08:00PM ET,BKN,11.45
C,Nerlens Noel (26936915),Nerlens Noel,26936915,C/UTIL,3000,BKN@MIN 03/10/2023 08:00PM ET,BKN,9.41
PG,David Duke Jr. (26936917),David Duke Jr.,26936917,PG/G/UTIL,3000,BKN@MIN 03/10/2023 08:00PM ET,BKN,6.69
C,Day'Ron Sharpe (26936920),Day'Ron Sharpe,26936920,C/UTIL,3000,BKN@MIN 03/10/2023 08:00PM ET,BKN,11.31
SF/PF,Yuta Watanabe (26936922),Yuta Watanabe,26936922,SF/PF/F/UTIL,3000,BKN@MIN 03/10/2023 08:00PM ET,BKN,12.73
C,Taj Gibson (26936722),Taj Gibson,26936722,C/UTIL,3000,ATL@WAS 03/10/2023 07:00PM ET,WAS,8.1
PG/SG,Kendrick Nunn (26936724),Kendrick Nunn,26936724,PG/SG/G/UTIL,3000,ATL@WAS 03/10/2023 07:00PM ET,WAS,11.22
SF/PF,Anthony Gill (26936728),Anthony Gill,26936728,SF/PF/F/UTIL,3000,ATL@WAS 03/10/2023 07:00PM ET,WAS,6.24
PG,Jamaree Bouyea (26936732),Jamaree Bouyea,26936732,PG/G/UTIL,3000,ATL@WAS 03/10/2023 07:00PM ET,WAS,9.56
PG,Quenton Jackson (26936735),Quenton Jackson,26936735,PG/G/UTIL,3000,ATL@WAS 03/10/2023 07:00PM ET,WAS,2.75
PF/C,Isaiah Todd (26936738),Isaiah Todd,26936738,PF/C/F/UTIL,3000,ATL@WAS 03/10/2023 07:00PM ET,WAS,0.5
SG,Johnny Davis (26936742),Johnny Davis,26936742,SG/G/UTIL,3000,ATL@WAS 03/10/2023 07:00PM ET,WAS,2.5
C,Jay Huff (26936745),Jay Huff,26936745,C/UTIL,3000,ATL@WAS 03/10/2023 07:00PM ET,WAS,0
PG,Aaron Holiday (26936867),Aaron Holiday,26936867,PG/G/UTIL,3000,ATL@WAS 03/10/2023 07:00PM ET,ATL,8.99
SG,Garrison Mathews (26936870),Garrison Mathews,26936870,SG/G/UTIL,3000,ATL@WAS 03/10/2023 07:00PM ET,ATL,8.56
SG/SF,Trent Forrest (26936873),Trent Forrest,26936873,SG/SF/F/G/UTIL,3000,ATL@WAS 03/10/2023 07:00PM ET,ATL,7.99
PG,Vit Krejci (26936878),Vit Krejci,26936878,PG/G/UTIL,3000,ATL@WAS 03/10/2023 07:00PM ET,ATL,3.27
SF,Tyrese Martin (26936881),Tyrese Martin,26936881,SF/F/UTIL,3000,ATL@WAS 03/10/2023 07:00PM ET,ATL,1.88
SF,Donovan Williams (26936884),Donovan Williams,26936884,SF/F/UTIL,3000,ATL@WAS 03/10/2023 07:00PM ET,ATL,0
C,Bruno Fernando (26936887),Bruno Fernando,26936887,C/UTIL,3000,ATL@WAS 03/10/2023 07:00PM ET,ATL,11.96
SF,Danuel House Jr. (26936687),Danuel House Jr.,26936687,SF/F/UTIL,3000,POR@PHI 03/10/2023 07:00PM ET,PHI,8.65
SG,Furkan Korkmaz (26936690),Furkan Korkmaz,26936690,SG/G/UTIL,3000,POR@PHI 03/10/2023 07:00PM ET,PHI,6.98
PF,Louis King (26936693),Louis King,26936693,PF/F/UTIL,3000,POR@PHI 03/10/2023 07:00PM ET,PHI,0
PG,Mac McClung (26936696),Mac McClung,26936696,PG/G/UTIL,3000,POR@PHI 03/10/2023 07:00PM ET,PHI,0
