Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Jalen Luypen (26943926),Jalen Luypen,26943926,C/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,CHI,0
C,Brett Seney (26943928),Brett Seney,26943928,C/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,CHI,3.89
C,Luke Philp (26943930),Luke Philp,26943930,C/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,CHI,2.5
C,Aleksi Heponiemi (26943940),Aleksi Heponiemi,26943940,C/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,FLA,2.88
RW,MacKenzie Entwistle (26943992),MacKenzie Entwistle,26943992,W/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,CHI,2.55
LW,Boris Katchouk (26943994),Boris Katchouk,26943994,W/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,CHI,2.30
RW,Joey Anderson (26943996),Joey Anderson,26943996,W/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,CHI,3.45
RW,Austin Wagner (26943998),Austin Wagner,26943998,W/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,CHI,0
LW,Colin Blackwell (26944000),Colin Blackwell,26944000,W/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,CHI,3.03
RW,Reese Johnson (26944002),Reese Johnson,26944002,W/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,CHI,2.87
RW,David Gust (26944004),David Gust,26944004,W/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,CHI,5.08
LW,Nick Cousins (26944022),Nick Cousins,26944022,W/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,FLA,4.95
RW,Colin White (26944024),Colin White,26944024,W/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,FLA,4.00
RW,Givani Smith (26944026),Givani Smith,26944026,W/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,FLA,2.80
RW,Patric Hornqvist (26944028),Patric Hornqvist,26944028,W/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,FLA,4.18
LW,Grigori Denisenko (26944030),Grigori Denisenko,26944030,W/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,FLA,2.74
LW,Anton Levtchi (26944032),Anton Levtchi,26944032,W/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,FLA,0.75
RW,Zac Dalpe (26944034),Zac Dalpe,26944034,W/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,FLA,4.31
D,Ian Mitchell (26944080),Ian Mitchell,26944080,D/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,CHI,4.30
D,Nikita Zaitsev (26944082),Nikita Zaitsev,26944082,D/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,CHI,3.74
D,Andreas Englund (26944084),Andreas Englund,26944084,D/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,CHI,2.11
D,Isaak Phillips (26944086),Isaak Phillips,26944086,D/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,CHI,3.77
D,Alec Regula (26944088),Alec Regula,26944088,D/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,CHI,4.1
D,Filip Roos (26944090),Filip Roos,26944090,D/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,CHI,5.01
D,Josh Mahura (26944108),Josh Mahura,26944108,D/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,FLA,4.05
D,Casey Fitzgerald (26944110),Casey Fitzgerald,26944110,D/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,FLA,2.12
D,Matt Kiersted (26944112),Matt Kiersted,26944112,D/UTIL,2500,CHI@FLA 03/10/2023 07:00PM ET,FLA,2.68
