player_id,salary,fpts,PG,SG,SF,PF,C,G,F,Util
100,3000.0,0.81587124,0,0,0,1,1,0,1,1
101,5600.0,1.3123381,1,1,0,0,0,1,0,1
102,4000.0,19.90596,0,0,0,1,1,0,1,1
103,5500.0,5.4211426,1,1,0,0,0,1,0,1
104,3000.0,5.912597,0,1,1,0,0,1,1,1
105,4400.0,17.321472,0,0,0,1,1,0,1,1
106,5600.0,32.826046,1,1,0,0,0,1,0,1
107,3100.0,8.75638,0,1,1,0,0,1,1,1
108,8200.0,54.20076,1,0,0,0,0,1,0,1
109,5800.0,33.379597,0,0,1,1,0,0,1,1
110,3200.0,8.071403,0,1,0,0,0,1,0,1
111,5300.0,28.61013,1,1,0,0,0,1,0,1
112,3700.0,11.533555,1,0,0,0,0,1,0,1
113,3500.0,17.753204,0,0,1,1,0,0,1,1
114,3000.0,2.8501549,0,1,1,0,0,1,1,1
115,3000.0,4.055771,0,0,0,1,1,0,1,1
