Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RP,Ray Kerr (26944851),Ray Kerr,26944851,P,4500,SD@KC 03/10/2023 03:03PM ET,SD,0.44
1B,Vinnie Pasquantino (26944853),Vinnie Pasquantino,26944853,1B,4500,SD@KC 03/10/2023 03:03PM ET,KC,6.93
2B,Michael Massey (26944854),Michael Massey,26944854,2B,4500,SD@KC 03/10/2023 03:03PM ET,KC,5.62
SP,Jonathan Heasley (26944855),Jonathan Heasley,26944855,P,4500,SD@KC 03/10/2023 03:03PM ET,KC,8.66
2B/OF,Nate Eaton (26944856),Nate Eaton,26944856,2B/OF,4500,SD@KC 03/10/2023 03:03PM ET,KC,5.79
OF,Diego Hernandez (26944863),Diego Hernandez,26944863,OF,4500,SD@KC 03/10/2023 03:03PM ET,KC,0
RP,Ryan Weathers (26944865),Ryan Weathers,26944865,P,4500,SD@KC 03/10/2023 03:03PM ET,SD,0.25
SP,Alec Marsh (26944890),Alec Marsh,26944890,P,4500,SD@KC 03/10/2023 03:03PM ET,KC,0
SS,Bobby Witt Jr. (26944891),Bobby Witt Jr.,26944891,SS,4500,SD@KC 03/10/2023 03:03PM ET,KC,8.14
RP,Matt Bush (26944523),Matt Bush,26944523,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,3.17
SP,Wade Miley (26944539),Wade Miley,26944539,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,10.34
RP,Justin Wilson (26944543),Justin Wilson,26944543,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,3.69
C,Mike Zunino (26944555),Mike Zunino,26944555,C,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,4.22
RP,Hoby Milner (26944559),Hoby Milner,26944559,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,2.71
OF,Christian Yelich (26944568),Christian Yelich,26944568,OF,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,7.77
RP,Joel Payamps (26944583),Joel Payamps,26944583,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,3.23
1B,Josh Bell (26944586),Josh Bell,26944586,1B,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,7.02
RP,Adrian Houser (26944587),Adrian Houser,26944587,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,8.81
SP,Brandon Woodruff (26944589),Brandon Woodruff,26944589,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,21.17
3B,Jose Ramirez (26944595),Jose Ramirez,26944595,3B,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,9.53
3B,Brian Anderson (26944596),Brian Anderson,26944596,3B,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,5.64
OF,Jesse Winker (26944613),Jesse Winker,26944613,OF,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,5.97
OF,Tyrone Taylor (26944617),Tyrone Taylor,26944617,OF,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,5.92
RP,Thomas Pannone (26944621),Thomas Pannone,26944621,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,0
SS,Amed Rosario (26944633),Amed Rosario,26944633,SS,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,7.63
SS,Willy Adames (26944636),Willy Adames,26944636,SS,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,8.51
RP,Javy Guerra (26944637),Javy Guerra,26944637,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,1.76
SP,Freddy Peralta (26944638),Freddy Peralta,26944638,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,13.95
RP,Devin Williams (26944643),Devin Williams,26944643,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,4.43
C,Victor Caratini (26944644),Victor Caratini,26944644,C,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,4.68
C,Brian Navarreto (26944648),Brian Navarreto,26944648,C,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,0
SP,Eric Lauer (26944651),Eric Lauer,26944651,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,16.12
1B,Rowdy Tellez (26944652),Rowdy Tellez,26944652,1B,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,7.16
SP,Cal Quantrill (26944653),Cal Quantrill,26944653,P,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,14.01
RP,Caleb Simpson (26944657),Caleb Simpson,26944657,P,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,0
2B/SS,Luis Urias (26944666),Luis Urias,26944666,2B/SS,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,6.48
RP,Sam Hentges (26944675),Sam Hentges,26944675,P,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,4.23
OF,Oscar Gonzalez (26944700),Oscar Gonzalez,26944700,OF,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,7.13
C,William Contreras (26944701),William Contreras,26944701,C,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,7.43
RP,Tyson Miller (26944702),Tyson Miller,26944702,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,0.6
RP,Emmanuel Clase (26944703),Emmanuel Clase,26944703,P,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,3.74
RP,Jake Cousins (26944704),Jake Cousins,26944704,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,5
SP,Corbin Burnes (26944705),Corbin Burnes,26944705,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,22.17
SP,Shane Bieber (26944706),Shane Bieber,26944706,P,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,21.13
SP,Zach Plesac (26944707),Zach Plesac,26944707,P,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,10.81
SP,Aaron Civale (26944708),Aaron Civale,26944708,P,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,11.88
1B,Josh Naylor (26944710),Josh Naylor,26944710,1B,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,7.37
SP,Triston McKenzie (26944712),Triston McKenzie,26944712,P,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,19.81
OF,Blake Perkins (26944715),Blake Perkins,26944715,OF,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,0
OF,Myles Straw (26944719),Myles Straw,26944719,OF,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,5.41
SP,Jason Bilous (26944726),Jason Bilous,26944726,P,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,0
SP,Cody Morris (26944727),Cody Morris,26944727,P,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,10.24
RP,Enyel De Los Santos (26944731),Enyel De Los Santos,26944731,P,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,3.74
SP,Konnor Pilkington (26944738),Konnor Pilkington,26944738,P,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,8.82
RP,James Karinchak (26944740),James Karinchak,26944740,P,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,4.61
SP,Eli Morgan (26944746),Eli Morgan,26944746,P,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,4.64
SP,Ethan Small (26944747),Ethan Small,26944747,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,4.32
RP,Elvis Peguero (26944749),Elvis Peguero,26944749,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,1.55
2B/SS,Andres Gimenez (26944750),Andres Gimenez,26944750,2B/SS,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,7.53
SP,Bryse Wilson (26944760),Bryse Wilson,26944760,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,7.38
C,Payton Henry (26944763),Payton Henry,26944763,C,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,2.53
2B/3B,Abraham Toro (26944764),Abraham Toro,26944764,2B/3B,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,4.41
SP,Tobias Myers (26944768),Tobias Myers,26944768,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,0
SP,Caleb Baragar (26944770),Caleb Baragar,26944770,P,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,0
SP,Trevor Stephan (26944777),Trevor Stephan,26944777,P,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,3.89
1B/3B,Mike Brosseau (26944787),Mike Brosseau,26944787,1B/3B,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,4.06
OF,Richie Palacios (26944799),Richie Palacios,26944799,OF,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,2.87
SP,Janson Junk (26944800),Janson Junk,26944800,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,8.32
RP,Tim Herrin (26944810),Tim Herrin,26944810,P,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,0
2B/3B,Owen Miller (26944811),Owen Miller,26944811,2B/3B,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,5.31
RP,Nick Sandlin (26944816),Nick Sandlin,26944816,P,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,3.25
OF,Steven Kwan (26944818),Steven Kwan,26944818,OF,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,7.83
1B/OF,Keston Hiura (26944822),Keston Hiura,26944822,1B/OF,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,6.21
3B/SS,Tyler Freeman (26944830),Tyler Freeman,26944830,3B/SS,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,4.5
OF,Garrett Mitchell (26944838),Garrett Mitchell,26944838,OF,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,5.89
SP,Joey Cantillo (26944839),Joey Cantillo,26944839,P,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,0
RP,Cam Robinson (26944841),Cam Robinson,26944841,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,0
SP,Aaron Ashby (26944842),Aaron Ashby,26944842,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,11.12
3B/OF,Gabriel Arias (26944849),Gabriel Arias,26944849,3B/OF,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,5.53
2B/SS,Jose Tena (26944859),Jose Tena,26944859,2B/SS,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,0
1B,Jhonkensy Noel (26944861),Jhonkensy Noel,26944861,1B,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,0
2B/SS,Brayan Rocchio (26944866),Brayan Rocchio,26944866,2B/SS,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,0
2B/SS,Brice Turang (26944868),Brice Turang,26944868,2B/SS,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,0
C,Bo Naylor (26944870),Bo Naylor,26944870,C,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,0
RP,Gus Varland (26944874),Gus Varland,26944874,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,0
C,Bryan Lavastida (26944875),Bryan Lavastida,26944875,C,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,1.5
OF,George Valera (26944879),George Valera,26944879,OF,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,0
RP,Peter Strzelecki (26944880),Peter Strzelecki,26944880,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,3.94
RP,Abner Uribe (26944881),Abner Uribe,26944881,P,4500,CLE@MIL 03/10/2023 03:10PM ET,MIL,0
SP,Hunter Gaddis (26944885),Hunter Gaddis,26944885,P,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,-7.15
OF,Will Brennan (26944886),Will Brennan,26944886,OF,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,6.94
SP,Xzavion Curry (26944887),Xzavion Curry,26944887,P,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,1.5
3B,Angel Martinez (26944903),Angel Martinez,26944903,3B,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,0
2B/SS,Juan Brito (26944905),Juan Brito,26944905,2B/SS,4500,CLE@MIL 03/10/2023 03:10PM ET,CLE,0
2B,Elvis Andrus (26944524),Elvis Andrus,26944524,2B,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,6.78
RP,Brad Boxberger (26944527),Brad Boxberger,26944527,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CHC,2.93
C,Yasmani Grandal (26944530),Yasmani Grandal,26944530,C,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,4.34
RP,Jake Diekman (26944531),Jake Diekman,26944531,P,4500,CWS@CHC 03/10/2023 03:03PM ET,CWS,2.61
